Country,Year,"Proportion of adults who are obese, 20 years old and over ,by sex"
Antigua and Barbuda,1990,8.6
Antigua and Barbuda,1991,8.9
Antigua and Barbuda,1992,9.2
Antigua and Barbuda,1993,9.6
Antigua and Barbuda,1994,9.9
Antigua and Barbuda,1995,10.3
Antigua and Barbuda,1996,10.6
Antigua and Barbuda,1997,11.0
Antigua and Barbuda,1998,11.4
Antigua and Barbuda,1999,11.7
Antigua and Barbuda,2000,12.1
Antigua and Barbuda,2001,12.5
Antigua and Barbuda,2002,12.9
Antigua and Barbuda,2003,13.3
Antigua and Barbuda,2004,13.7
Antigua and Barbuda,2005,14.0
Antigua and Barbuda,2006,14.4
Antigua and Barbuda,2007,14.8
Antigua and Barbuda,2008,15.3
Antigua and Barbuda,2009,15.7
Antigua and Barbuda,2010,16.1
Antigua and Barbuda,2011,16.6
Antigua and Barbuda,2012,17.0
Antigua and Barbuda,2013,17.5
Antigua and Barbuda,2014,18.0
Antigua and Barbuda,2015,18.6
Antigua and Barbuda,2016,19.1
Argentina,1990,16.6
Argentina,1991,17.0
Argentina,1992,17.4
Argentina,1993,17.8
Argentina,1994,18.2
Argentina,1995,18.5
Argentina,1996,18.9
Argentina,1997,19.3
Argentina,1998,19.7
Argentina,1999,20.1
Argentina,2000,20.5
Argentina,2001,20.9
Argentina,2002,21.4
Argentina,2003,21.8
Argentina,2004,22.3
Argentina,2005,22.8
Argentina,2006,23.2
Argentina,2007,23.7
Argentina,2008,24.2
Argentina,2009,24.7
Argentina,2010,25.3
Argentina,2011,25.8
Argentina,2012,26.3
Argentina,2013,26.9
Argentina,2014,27.4
Argentina,2015,28.0
Argentina,2016,28.5
Bahamas,1990,16.9
Bahamas,1991,17.5
Bahamas,1992,18.1
Bahamas,1993,18.7
Bahamas,1994,19.3
Bahamas,1995,19.9
Bahamas,1996,20.5
Bahamas,1997,21.2
Bahamas,1998,21.8
Bahamas,1999,22.5
Bahamas,2000,23.1
Bahamas,2001,23.7
Bahamas,2002,24.2
Bahamas,2003,24.8
Bahamas,2004,25.3
Bahamas,2005,25.9
Bahamas,2006,26.4
Bahamas,2007,27.0
Bahamas,2008,27.5
Bahamas,2009,28.1
Bahamas,2010,28.6
Bahamas,2011,29.2
Bahamas,2012,29.7
Bahamas,2013,30.3
Bahamas,2014,30.9
Bahamas,2015,31.5
Bahamas,2016,32.1
Barbados,1990,10.7
Barbados,1991,11.0
Barbados,1992,11.4
Barbados,1993,11.8
Barbados,1994,12.3
Barbados,1995,12.7
Barbados,1996,13.2
Barbados,1997,13.8
Barbados,1998,14.3
Barbados,1999,14.9
Barbados,2000,15.4
Barbados,2001,16.0
Barbados,2002,16.5
Barbados,2003,17.1
Barbados,2004,17.6
Barbados,2005,18.1
Barbados,2006,18.7
Barbados,2007,19.3
Barbados,2008,19.8
Barbados,2009,20.4
Barbados,2010,21.0
Barbados,2011,21.6
Barbados,2012,22.2
Barbados,2013,22.8
Barbados,2014,23.5
Barbados,2015,24.1
Barbados,2016,24.8
Belize,1990,10.3
Belize,1991,10.7
Belize,1992,11.0
Belize,1993,11.5
Belize,1994,11.9
Belize,1995,12.3
Belize,1996,12.7
Belize,1997,13.1
Belize,1998,13.5
Belize,1999,13.9
Belize,2000,14.3
Belize,2001,14.7
Belize,2002,15.1
Belize,2003,15.5
Belize,2004,16.0
Belize,2005,16.4
Belize,2006,16.8
Belize,2007,17.3
Belize,2008,17.7
Belize,2009,18.2
Belize,2010,18.8
Belize,2011,19.3
Belize,2012,19.9
Belize,2013,20.5
Belize,2014,21.1
Belize,2015,21.8
Belize,2016,22.4
Bolivia (Plurinational State of),1990,8.1
Bolivia (Plurinational State of),1991,8.5
Bolivia (Plurinational State of),1992,8.8
Bolivia (Plurinational State of),1993,9.2
Bolivia (Plurinational State of),1994,9.6
Bolivia (Plurinational State of),1995,9.9
Bolivia (Plurinational State of),1996,10.3
Bolivia (Plurinational State of),1997,10.7
Bolivia (Plurinational State of),1998,11.1
Bolivia (Plurinational State of),1999,11.5
Bolivia (Plurinational State of),2000,11.8
Bolivia (Plurinational State of),2001,12.2
Bolivia (Plurinational State of),2002,12.6
Bolivia (Plurinational State of),2003,13.0
Bolivia (Plurinational State of),2004,13.4
Bolivia (Plurinational State of),2005,13.8
Bolivia (Plurinational State of),2006,14.2
Bolivia (Plurinational State of),2007,14.6
Bolivia (Plurinational State of),2008,15.0
Bolivia (Plurinational State of),2009,15.5
Bolivia (Plurinational State of),2010,15.9
Bolivia (Plurinational State of),2011,16.3
Bolivia (Plurinational State of),2012,16.8
Bolivia (Plurinational State of),2013,17.3
Bolivia (Plurinational State of),2014,17.7
Bolivia (Plurinational State of),2015,18.2
Bolivia (Plurinational State of),2016,18.7
Brazil,1990,9.1
Brazil,1991,9.5
Brazil,1992,9.9
Brazil,1993,10.3
Brazil,1994,10.8
Brazil,1995,11.2
Brazil,1996,11.6
Brazil,1997,12.1
Brazil,1998,12.6
Brazil,1999,13.0
Brazil,2000,13.5
Brazil,2001,14.0
Brazil,2002,14.5
Brazil,2003,15.0
Brazil,2004,15.5
Brazil,2005,16.0
Brazil,2006,16.6
Brazil,2007,17.1
Brazil,2008,17.7
Brazil,2009,18.2
Brazil,2010,18.8
Brazil,2011,19.4
Brazil,2012,19.9
Brazil,2013,20.5
Brazil,2014,21.1
Brazil,2015,21.7
Brazil,2016,22.3
Canada,1990,15.3
Canada,1991,15.8
Canada,1992,16.4
Canada,1993,17.0
Canada,1994,17.6
Canada,1995,18.2
Canada,1996,18.8
Canada,1997,19.5
Canada,1998,20.1
Canada,1999,20.8
Canada,2000,21.5
Canada,2001,22.1
Canada,2002,22.8
Canada,2003,23.4
Canada,2004,24.0
Canada,2005,24.6
Canada,2006,25.2
Canada,2007,25.8
Canada,2008,26.4
Canada,2009,27.0
Canada,2010,27.6
Canada,2011,28.2
Canada,2012,28.8
Canada,2013,29.4
Canada,2014,30.1
Canada,2015,30.7
Canada,2016,31.3
Chile,1990,15.4
Chile,1991,15.9
Chile,1992,16.3
Chile,1993,16.8
Chile,1994,17.2
Chile,1995,17.7
Chile,1996,18.2
Chile,1997,18.7
Chile,1998,19.3
Chile,1999,19.8
Chile,2000,20.3
Chile,2001,20.8
Chile,2002,21.4
Chile,2003,21.9
Chile,2004,22.4
Chile,2005,22.9
Chile,2006,23.4
Chile,2007,23.9
Chile,2008,24.4
Chile,2009,25.0
Chile,2010,25.5
Chile,2011,26.0
Chile,2012,26.6
Chile,2013,27.1
Chile,2014,27.7
Chile,2015,28.3
Chile,2016,28.8
Colombia,1990,9.8
Colombia,1991,10.2
Colombia,1992,10.6
Colombia,1993,11.0
Colombia,1994,11.4
Colombia,1995,11.8
Colombia,1996,12.3
Colombia,1997,12.7
Colombia,1998,13.1
Colombia,1999,13.6
Colombia,2000,14.0
Colombia,2001,14.5
Colombia,2002,14.9
Colombia,2003,15.4
Colombia,2004,15.9
Colombia,2005,16.3
Colombia,2006,16.8
Colombia,2007,17.3
Colombia,2008,17.8
Colombia,2009,18.3
Colombia,2010,18.8
Colombia,2011,19.4
Colombia,2012,19.9
Colombia,2013,20.5
Colombia,2014,21.0
Colombia,2015,21.6
Colombia,2016,22.1
Costa Rica,1990,8.6
Costa Rica,1991,9.0
Costa Rica,1992,9.5
Costa Rica,1993,10.0
Costa Rica,1994,10.6
Costa Rica,1995,11.1
Costa Rica,1996,11.6
Costa Rica,1997,12.2
Costa Rica,1998,12.7
Costa Rica,1999,13.3
Costa Rica,2000,13.8
Costa Rica,2001,14.4
Costa Rica,2002,15.0
Costa Rica,2003,15.7
Costa Rica,2004,16.4
Costa Rica,2005,17.1
Costa Rica,2006,17.8
Costa Rica,2007,18.5
Costa Rica,2008,19.2
Costa Rica,2009,20.0
Costa Rica,2010,20.8
Costa Rica,2011,21.6
Costa Rica,2012,22.4
Costa Rica,2013,23.2
Costa Rica,2014,24.0
Costa Rica,2015,24.8
Costa Rica,2016,25.7
Cuba,1990,12.4
Cuba,1991,12.8
Cuba,1992,13.2
Cuba,1993,13.7
Cuba,1994,14.2
Cuba,1995,14.7
Cuba,1996,15.2
Cuba,1997,15.8
Cuba,1998,16.3
Cuba,1999,16.9
Cuba,2000,17.5
Cuba,2001,18.1
Cuba,2002,18.6
Cuba,2003,19.2
Cuba,2004,19.7
Cuba,2005,20.3
Cuba,2006,20.9
Cuba,2007,21.4
Cuba,2008,22.0
Cuba,2009,22.5
Cuba,2010,23.1
Cuba,2011,23.7
Cuba,2012,24.3
Cuba,2013,24.9
Cuba,2014,25.5
Cuba,2015,26.1
Cuba,2016,26.7
Dominica,1990,12.8
Dominica,1991,13.5
Dominica,1992,14.1
Dominica,1993,14.7
Dominica,1994,15.4
Dominica,1995,15.9
Dominica,1996,16.5
Dominica,1997,17.1
Dominica,1998,17.6
Dominica,1999,18.2
Dominica,2000,18.7
Dominica,2001,19.2
Dominica,2002,19.7
Dominica,2003,20.3
Dominica,2004,20.8
Dominica,2005,21.4
Dominica,2006,21.9
Dominica,2007,22.5
Dominica,2008,23.1
Dominica,2009,23.7
Dominica,2010,24.3
Dominica,2011,24.9
Dominica,2012,25.6
Dominica,2013,26.2
Dominica,2014,26.8
Dominica,2015,27.5
Dominica,2016,28.2
Dominican Republic,1990,9.9
Dominican Republic,1991,10.3
Dominican Republic,1992,10.7
Dominican Republic,1993,11.1
Dominican Republic,1994,11.5
Dominican Republic,1995,11.9
Dominican Republic,1996,12.4
Dominican Republic,1997,12.9
Dominican Republic,1998,13.5
Dominican Republic,1999,14.0
Dominican Republic,2000,14.6
Dominican Republic,2001,15.2
Dominican Republic,2002,15.9
Dominican Republic,2003,16.5
Dominican Republic,2004,17.2
Dominican Republic,2005,17.9
Dominican Republic,2006,18.7
Dominican Republic,2007,19.4
Dominican Republic,2008,20.2
Dominican Republic,2009,21.0
Dominican Republic,2010,21.8
Dominican Republic,2011,22.7
Dominican Republic,2012,23.5
Dominican Republic,2013,24.3
Dominican Republic,2014,25.2
Dominican Republic,2015,26.0
Dominican Republic,2016,26.9
Ecuador,1990,8.3
Ecuador,1991,8.6
Ecuador,1992,9.0
Ecuador,1993,9.3
Ecuador,1994,9.7
Ecuador,1995,10.1
Ecuador,1996,10.4
Ecuador,1997,10.8
Ecuador,1998,11.2
Ecuador,1999,11.6
Ecuador,2000,12.0
Ecuador,2001,12.4
Ecuador,2002,12.9
Ecuador,2003,13.3
Ecuador,2004,13.7
Ecuador,2005,14.1
Ecuador,2006,14.6
Ecuador,2007,15.0
Ecuador,2008,15.4
Ecuador,2009,15.9
Ecuador,2010,16.3
Ecuador,2011,16.8
Ecuador,2012,17.3
Ecuador,2013,17.8
Ecuador,2014,18.3
Ecuador,2015,18.8
Ecuador,2016,19.3
El Salvador,1990,9.2
El Salvador,1991,9.6
El Salvador,1992,10.0
El Salvador,1993,10.5
El Salvador,1994,10.9
El Salvador,1995,11.4
El Salvador,1996,11.9
El Salvador,1997,12.5
El Salvador,1998,13.0
El Salvador,1999,13.6
El Salvador,2000,14.1
El Salvador,2001,14.7
El Salvador,2002,15.2
El Salvador,2003,15.8
El Salvador,2004,16.3
El Salvador,2005,16.8
El Salvador,2006,17.3
El Salvador,2007,17.8
El Salvador,2008,18.3
El Salvador,2009,18.8
El Salvador,2010,19.4
El Salvador,2011,19.9
El Salvador,2012,20.4
El Salvador,2013,20.9
El Salvador,2014,21.5
El Salvador,2015,22.1
El Salvador,2016,22.7
Grenada,1990,8.8
Grenada,1991,9.2
Grenada,1992,9.5
Grenada,1993,9.7
Grenada,1994,10.0
Grenada,1995,10.3
Grenada,1996,10.6
Grenada,1997,11.0
Grenada,1998,11.4
Grenada,1999,11.8
Grenada,2000,12.2
Grenada,2001,12.5
Grenada,2002,12.9
Grenada,2003,13.3
Grenada,2004,13.6
Grenada,2005,14.0
Grenada,2006,14.4
Grenada,2007,14.9
Grenada,2008,15.3
Grenada,2009,15.8
Grenada,2010,16.3
Grenada,2011,16.9
Grenada,2012,17.5
Grenada,2013,18.1
Grenada,2014,18.7
Grenada,2015,19.4
Grenada,2016,20.2
Guatemala,1990,7.8
Guatemala,1991,8.1
Guatemala,1992,8.4
Guatemala,1993,8.7
Guatemala,1994,9.1
Guatemala,1995,9.4
Guatemala,1996,9.8
Guatemala,1997,10.1
Guatemala,1998,10.5
Guatemala,1999,10.9
Guatemala,2000,11.3
Guatemala,2001,11.7
Guatemala,2002,12.1
Guatemala,2003,12.5
Guatemala,2004,12.9
Guatemala,2005,13.3
Guatemala,2006,13.8
Guatemala,2007,14.2
Guatemala,2008,14.7
Guatemala,2009,15.2
Guatemala,2010,15.6
Guatemala,2011,16.1
Guatemala,2012,16.6
Guatemala,2013,17.1
Guatemala,2014,17.7
Guatemala,2015,18.2
Guatemala,2016,18.8
Guyana,1990,7.3
Guyana,1991,7.5
Guyana,1992,7.8
Guyana,1993,8.0
Guyana,1994,8.3
Guyana,1995,8.6
Guyana,1996,9.0
Guyana,1997,9.5
Guyana,1998,10.0
Guyana,1999,10.5
Guyana,2000,11.0
Guyana,2001,11.4
Guyana,2002,11.9
Guyana,2003,12.3
Guyana,2004,12.7
Guyana,2005,13.1
Guyana,2006,13.5
Guyana,2007,14.0
Guyana,2008,14.4
Guyana,2009,14.9
Guyana,2010,15.4
Guyana,2011,16.0
Guyana,2012,16.6
Guyana,2013,17.3
Guyana,2014,17.9
Guyana,2015,18.6
Guyana,2016,19.2
Haiti,1990,5.7
Haiti,1991,6.1
Haiti,1992,6.4
Haiti,1993,6.8
Haiti,1994,7.2
Haiti,1995,7.6
Haiti,1996,7.9
Haiti,1997,8.3
Haiti,1998,8.7
Haiti,1999,9.1
Haiti,2000,9.5
Haiti,2001,9.9
Haiti,2002,10.4
Haiti,2003,10.9
Haiti,2004,11.5
Haiti,2005,12.1
Haiti,2006,12.7
Haiti,2007,13.4
Haiti,2008,14.1
Haiti,2009,14.8
Haiti,2010,15.6
Haiti,2011,16.4
Haiti,2012,17.2
Haiti,2013,18.0
Haiti,2014,18.8
Haiti,2015,19.6
Haiti,2016,20.5
Honduras,1990,7.1
Honduras,1991,7.5
Honduras,1992,7.8
Honduras,1993,8.1
Honduras,1994,8.5
Honduras,1995,8.8
Honduras,1996,9.2
Honduras,1997,9.6
Honduras,1998,10.0
Honduras,1999,10.4
Honduras,2000,10.8
Honduras,2001,11.2
Honduras,2002,11.7
Honduras,2003,12.1
Honduras,2004,12.6
Honduras,2005,13.1
Honduras,2006,13.6
Honduras,2007,14.1
Honduras,2008,14.6
Honduras,2009,15.2
Honduras,2010,15.7
Honduras,2011,16.3
Honduras,2012,16.9
Honduras,2013,17.5
Honduras,2014,18.1
Honduras,2015,18.7
Honduras,2016,19.4
Jamaica,1990,10.4
Jamaica,1991,10.8
Jamaica,1992,11.2
Jamaica,1993,11.5
Jamaica,1994,12.0
Jamaica,1995,12.4
Jamaica,1996,12.8
Jamaica,1997,13.3
Jamaica,1998,13.8
Jamaica,1999,14.3
Jamaica,2000,14.8
Jamaica,2001,15.4
Jamaica,2002,16.0
Jamaica,2003,16.6
Jamaica,2004,17.2
Jamaica,2005,17.8
Jamaica,2006,18.4
Jamaica,2007,19.0
Jamaica,2008,19.6
Jamaica,2009,20.1
Jamaica,2010,20.7
Jamaica,2011,21.3
Jamaica,2012,21.9
Jamaica,2013,22.5
Jamaica,2014,23.1
Jamaica,2015,23.7
Jamaica,2016,24.4
Mexico,1990,14.0
Mexico,1991,14.5
Mexico,1992,14.9
Mexico,1993,15.4
Mexico,1994,15.9
Mexico,1995,16.4
Mexico,1996,16.9
Mexico,1997,17.5
Mexico,1998,18.0
Mexico,1999,18.5
Mexico,2000,19.1
Mexico,2001,19.7
Mexico,2002,20.2
Mexico,2003,20.8
Mexico,2004,21.4
Mexico,2005,22.0
Mexico,2006,22.6
Mexico,2007,23.1
Mexico,2008,23.7
Mexico,2009,24.3
Mexico,2010,24.9
Mexico,2011,25.5
Mexico,2012,26.0
Mexico,2013,26.6
Mexico,2014,27.2
Mexico,2015,27.8
Mexico,2016,28.4
Nicaragua,1990,9.7
Nicaragua,1991,10.0
Nicaragua,1992,10.3
Nicaragua,1993,10.7
Nicaragua,1994,11.0
Nicaragua,1995,11.4
Nicaragua,1996,11.7
Nicaragua,1997,12.1
Nicaragua,1998,12.5
Nicaragua,1999,12.9
Nicaragua,2000,13.3
Nicaragua,2001,13.7
Nicaragua,2002,14.2
Nicaragua,2003,14.6
Nicaragua,2004,15.1
Nicaragua,2005,15.6
Nicaragua,2006,16.1
Nicaragua,2007,16.6
Nicaragua,2008,17.1
Nicaragua,2009,17.6
Nicaragua,2010,18.2
Nicaragua,2011,18.8
Nicaragua,2012,19.3
Nicaragua,2013,19.9
Nicaragua,2014,20.5
Nicaragua,2015,21.2
Nicaragua,2016,21.8
Panama,1990,9.0
Panama,1991,9.3
Panama,1992,9.7
Panama,1993,10.1
Panama,1994,10.6
Panama,1995,11.0
Panama,1996,11.5
Panama,1997,12.0
Panama,1998,12.5
Panama,1999,13.1
Panama,2000,13.6
Panama,2001,14.2
Panama,2002,14.7
Panama,2003,15.3
Panama,2004,15.8
Panama,2005,16.3
Panama,2006,16.9
Panama,2007,17.4
Panama,2008,18.0
Panama,2009,18.5
Panama,2010,19.0
Panama,2011,19.6
Panama,2012,20.2
Panama,2013,20.8
Panama,2014,21.3
Panama,2015,21.9
Panama,2016,22.5
Paraguay,1990,7.1
Paraguay,1991,7.4
Paraguay,1992,7.8
Paraguay,1993,8.2
Paraguay,1994,8.6
Paraguay,1995,9.0
Paraguay,1996,9.4
Paraguay,1997,9.8
Paraguay,1998,10.2
Paraguay,1999,10.6
Paraguay,2000,11.1
Paraguay,2001,11.5
Paraguay,2002,11.9
Paraguay,2003,12.4
Paraguay,2004,12.8
Paraguay,2005,13.3
Paraguay,2006,13.8
Paraguay,2007,14.2
Paraguay,2008,14.7
Paraguay,2009,15.2
Paraguay,2010,15.7
Paraguay,2011,16.2
Paraguay,2012,16.7
Paraguay,2013,17.3
Paraguay,2014,17.8
Paraguay,2015,18.4
Paraguay,2016,19.0
Peru,1990,9.1
Peru,1991,9.4
Peru,1992,9.7
Peru,1993,10.0
Peru,1994,10.3
Peru,1995,10.6
Peru,1996,10.9
Peru,1997,11.2
Peru,1998,11.6
Peru,1999,11.9
Peru,2000,12.3
Peru,2001,12.6
Peru,2002,13.0
Peru,2003,13.4
Peru,2004,13.8
Peru,2005,14.2
Peru,2006,14.6
Peru,2007,15.0
Peru,2008,15.4
Peru,2009,15.9
Peru,2010,16.3
Peru,2011,16.7
Peru,2012,17.2
Peru,2013,17.7
Peru,2014,18.1
Peru,2015,18.6
Peru,2016,19.1
Saint Kitts and Nevis,1990,9.7
Saint Kitts and Nevis,1991,10.1
Saint Kitts and Nevis,1992,10.4
Saint Kitts and Nevis,1993,10.8
Saint Kitts and Nevis,1994,11.2
Saint Kitts and Nevis,1995,11.6
Saint Kitts and Nevis,1996,12.0
Saint Kitts and Nevis,1997,12.4
Saint Kitts and Nevis,1998,12.9
Saint Kitts and Nevis,1999,13.4
Saint Kitts and Nevis,2000,13.8
Saint Kitts and Nevis,2001,14.3
Saint Kitts and Nevis,2002,14.8
Saint Kitts and Nevis,2003,15.3
Saint Kitts and Nevis,2004,15.8
Saint Kitts and Nevis,2005,16.3
Saint Kitts and Nevis,2006,16.8
Saint Kitts and Nevis,2007,17.4
Saint Kitts and Nevis,2008,17.9
Saint Kitts and Nevis,2009,18.5
Saint Kitts and Nevis,2010,19.1
Saint Kitts and Nevis,2011,19.7
Saint Kitts and Nevis,2012,20.4
Saint Kitts and Nevis,2013,21.0
Saint Kitts and Nevis,2014,21.7
Saint Kitts and Nevis,2015,22.4
Saint Kitts and Nevis,2016,23.1
Saint Lucia,1990,8.2
Saint Lucia,1991,8.5
Saint Lucia,1992,8.9
Saint Lucia,1993,9.3
Saint Lucia,1994,9.6
Saint Lucia,1995,10.0
Saint Lucia,1996,10.4
Saint Lucia,1997,10.7
Saint Lucia,1998,11.1
Saint Lucia,1999,11.5
Saint Lucia,2000,11.9
Saint Lucia,2001,12.3
Saint Lucia,2002,12.6
Saint Lucia,2003,13.0
Saint Lucia,2004,13.3
Saint Lucia,2005,13.7
Saint Lucia,2006,14.2
Saint Lucia,2007,14.7
Saint Lucia,2008,15.3
Saint Lucia,2009,15.8
Saint Lucia,2010,16.3
Saint Lucia,2011,16.9
Saint Lucia,2012,17.4
Saint Lucia,2013,17.9
Saint Lucia,2014,18.5
Saint Lucia,2015,19.2
Saint Lucia,2016,19.8
Saint Vincent and the Grenadines,1990,8.8
Saint Vincent and the Grenadines,1991,9.2
Saint Vincent and the Grenadines,1992,9.6
Saint Vincent and the Grenadines,1993,10.0
Saint Vincent and the Grenadines,1994,10.4
Saint Vincent and the Grenadines,1995,10.8
Saint Vincent and the Grenadines,1996,11.3
Saint Vincent and the Grenadines,1997,11.8
Saint Vincent and the Grenadines,1998,12.3
Saint Vincent and the Grenadines,1999,12.8
Saint Vincent and the Grenadines,2000,13.3
Saint Vincent and the Grenadines,2001,13.9
Saint Vincent and the Grenadines,2002,14.4
Saint Vincent and the Grenadines,2003,15.0
Saint Vincent and the Grenadines,2004,15.6
Saint Vincent and the Grenadines,2005,16.2
Saint Vincent and the Grenadines,2006,16.8
Saint Vincent and the Grenadines,2007,17.4
Saint Vincent and the Grenadines,2008,18.1
Saint Vincent and the Grenadines,2009,18.7
Saint Vincent and the Grenadines,2010,19.4
Saint Vincent and the Grenadines,2011,20.1
Saint Vincent and the Grenadines,2012,20.8
Saint Vincent and the Grenadines,2013,21.5
Saint Vincent and the Grenadines,2014,22.3
Saint Vincent and the Grenadines,2015,23.0
Saint Vincent and the Grenadines,2016,23.8
Suriname,1990,13.2
Suriname,1991,13.6
Suriname,1992,14.0
Suriname,1993,14.5
Suriname,1994,14.9
Suriname,1995,15.4
Suriname,1996,15.8
Suriname,1997,16.3
Suriname,1998,16.8
Suriname,1999,17.3
Suriname,2000,17.8
Suriname,2001,18.3
Suriname,2002,18.8
Suriname,2003,19.3
Suriname,2004,19.8
Suriname,2005,20.3
Suriname,2006,20.8
Suriname,2007,21.3
Suriname,2008,21.9
Suriname,2009,22.5
Suriname,2010,23.0
Suriname,2011,23.6
Suriname,2012,24.2
Suriname,2013,24.8
Suriname,2014,25.3
Suriname,2015,25.9
Suriname,2016,26.5
Trinidad and Tobago,1990,6.3
Trinidad and Tobago,1991,6.6
Trinidad and Tobago,1992,6.9
Trinidad and Tobago,1993,7.3
Trinidad and Tobago,1994,7.6
Trinidad and Tobago,1995,8.0
Trinidad and Tobago,1996,8.4
Trinidad and Tobago,1997,8.8
Trinidad and Tobago,1998,9.3
Trinidad and Tobago,1999,9.7
Trinidad and Tobago,2000,10.2
Trinidad and Tobago,2001,10.6
Trinidad and Tobago,2002,11.1
Trinidad and Tobago,2003,11.6
Trinidad and Tobago,2004,12.1
Trinidad and Tobago,2005,12.6
Trinidad and Tobago,2006,13.1
Trinidad and Tobago,2007,13.6
Trinidad and Tobago,2008,14.2
Trinidad and Tobago,2009,14.8
Trinidad and Tobago,2010,15.4
Trinidad and Tobago,2011,16.1
Trinidad and Tobago,2012,16.7
Trinidad and Tobago,2013,17.4
Trinidad and Tobago,2014,18.2
Trinidad and Tobago,2015,18.9
Trinidad and Tobago,2016,19.7
United States of America,1990,18.7
United States of America,1991,19.4
United States of America,1992,20.1
United States of America,1993,20.8
United States of America,1994,21.5
United States of America,1995,22.3
United States of America,1996,23.0
United States of America,1997,23.8
United States of America,1998,24.6
United States of America,1999,25.4
United States of America,2000,26.1
United States of America,2001,26.9
United States of America,2002,27.7
United States of America,2003,28.4
United States of America,2004,29.2
United States of America,2005,29.9
United States of America,2006,30.6
United States of America,2007,31.3
United States of America,2008,32.0
United States of America,2009,32.7
United States of America,2010,33.4
United States of America,2011,34.0
United States of America,2012,34.7
United States of America,2013,35.4
United States of America,2014,36.0
United States of America,2015,36.7
United States of America,2016,37.3
Uruguay,1990,17.0
Uruguay,1991,17.4
Uruguay,1992,17.7
Uruguay,1993,18.1
Uruguay,1994,18.5
Uruguay,1995,18.9
Uruguay,1996,19.3
Uruguay,1997,19.7
Uruguay,1998,20.1
Uruguay,1999,20.5
Uruguay,2000,21.0
Uruguay,2001,21.4
Uruguay,2002,21.9
Uruguay,2003,22.4
Uruguay,2004,22.9
Uruguay,2005,23.4
Uruguay,2006,23.9
Uruguay,2007,24.4
Uruguay,2008,24.9
Uruguay,2009,25.4
Uruguay,2010,25.9
Uruguay,2011,26.4
Uruguay,2012,26.8
Uruguay,2013,27.3
Uruguay,2014,27.8
Uruguay,2015,28.4
Uruguay,2016,28.9
Venezuela (Bolivarian Republic of),1990,13.7
Venezuela (Bolivarian Republic of),1991,14.1
Venezuela (Bolivarian Republic of),1992,14.5
Venezuela (Bolivarian Republic of),1993,15.0
Venezuela (Bolivarian Republic of),1994,15.4
Venezuela (Bolivarian Republic of),1995,15.9
Venezuela (Bolivarian Republic of),1996,16.3
Venezuela (Bolivarian Republic of),1997,16.8
Venezuela (Bolivarian Republic of),1998,17.2
Venezuela (Bolivarian Republic of),1999,17.7
Venezuela (Bolivarian Republic of),2000,18.1
Venezuela (Bolivarian Republic of),2001,18.6
Venezuela (Bolivarian Republic of),2002,19.0
Venezuela (Bolivarian Republic of),2003,19.4
Venezuela (Bolivarian Republic of),2004,19.9
Venezuela (Bolivarian Republic of),2005,20.3
Venezuela (Bolivarian Republic of),2006,20.7
Venezuela (Bolivarian Republic of),2007,21.1
Venezuela (Bolivarian Republic of),2008,21.6
Venezuela (Bolivarian Republic of),2009,22.0
Venezuela (Bolivarian Republic of),2010,22.4
Venezuela (Bolivarian Republic of),2011,22.9
Venezuela (Bolivarian Republic of),2012,23.3
Venezuela (Bolivarian Republic of),2013,23.8
