Country,Year,"Proportion of adults who are obese, 20 years old and over ,by sex"
Venezuela (Bolivarian Republic of),2011,26.0
Venezuela (Bolivarian Republic of),2012,26.5
Venezuela (Bolivarian Republic of),2013,26.9
Venezuela (Bolivarian Republic of),2014,27.4
Venezuela (Bolivarian Republic of),2015,27.8
Venezuela (Bolivarian Republic of),2016,28.3
Antigua and Barbuda,1990,4.2
Antigua and Barbuda,1991,4.4
Antigua and Barbuda,1992,4.6
Antigua and Barbuda,1993,4.9
Antigua and Barbuda,1994,5.1
Antigua and Barbuda,1995,5.3
Antigua and Barbuda,1996,5.6
Antigua and Barbuda,1997,5.8
Antigua and Barbuda,1998,6.1
Antigua and Barbuda,1999,6.3
Antigua and Barbuda,2000,6.6
Antigua and Barbuda,2001,6.8
Antigua and Barbuda,2002,7.1
Antigua and Barbuda,2003,7.4
Antigua and Barbuda,2004,7.6
Antigua and Barbuda,2005,7.9
Antigua and Barbuda,2006,8.2
Antigua and Barbuda,2007,8.5
Antigua and Barbuda,2008,8.8
Antigua and Barbuda,2009,9.1
Antigua and Barbuda,2010,9.4
Antigua and Barbuda,2011,9.7
Antigua and Barbuda,2012,10.1
Antigua and Barbuda,2013,10.4
Antigua and Barbuda,2014,10.8
Antigua and Barbuda,2015,11.2
Antigua and Barbuda,2016,11.7
Argentina,1990,14.5
Argentina,1991,14.9
Argentina,1992,15.3
Argentina,1993,15.7
Argentina,1994,16.1
Argentina,1995,16.5
Argentina,1996,17.0
Argentina,1997,17.4
Argentina,1998,17.8
Argentina,1999,18.2
Argentina,2000,18.7
Argentina,2001,19.2
Argentina,2002,19.6
Argentina,2003,20.1
Argentina,2004,20.6
Argentina,2005,21.1
Argentina,2006,21.7
Argentina,2007,22.2
Argentina,2008,22.7
Argentina,2009,23.3
Argentina,2010,23.8
Argentina,2011,24.4
Argentina,2012,25.0
Argentina,2013,25.5
Argentina,2014,26.1
Argentina,2015,26.8
Argentina,2016,27.4
Bahamas,1990,10.0
Bahamas,1991,10.5
Bahamas,1992,11.0
Bahamas,1993,11.5
Bahamas,1994,12.0
Bahamas,1995,12.6
Bahamas,1996,13.1
Bahamas,1997,13.7
Bahamas,1998,14.2
Bahamas,1999,14.8
Bahamas,2000,15.4
Bahamas,2001,15.9
Bahamas,2002,16.5
Bahamas,2003,17.0
Bahamas,2004,17.6
Bahamas,2005,18.1
Bahamas,2006,18.7
Bahamas,2007,19.2
Bahamas,2008,19.8
Bahamas,2009,20.4
Bahamas,2010,21.0
Bahamas,2011,21.6
Bahamas,2012,22.2
Bahamas,2013,22.8
Bahamas,2014,23.4
Bahamas,2015,24.1
Bahamas,2016,24.8
Barbados,1990,4.9
Barbados,1991,5.1
Barbados,1992,5.4
Barbados,1993,5.6
Barbados,1994,5.9
Barbados,1995,6.2
Barbados,1996,6.6
Barbados,1997,7.0
Barbados,1998,7.3
Barbados,1999,7.7
Barbados,2000,8.1
Barbados,2001,8.5
Barbados,2002,8.9
Barbados,2003,9.3
Barbados,2004,9.7
Barbados,2005,10.2
Barbados,2006,10.6
Barbados,2007,11.0
Barbados,2008,11.5
Barbados,2009,11.9
Barbados,2010,12.4
Barbados,2011,12.9
Barbados,2012,13.4
Barbados,2013,13.9
Barbados,2014,14.5
Barbados,2015,15.0
Barbados,2016,15.6
Belize,1990,5.6
Belize,1991,5.8
Belize,1992,6.1
Belize,1993,6.4
Belize,1994,6.7
Belize,1995,7.0
Belize,1996,7.3
Belize,1997,7.6
Belize,1998,7.9
Belize,1999,8.3
Belize,2000,8.6
Belize,2001,8.9
Belize,2002,9.2
Belize,2003,9.6
Belize,2004,9.9
Belize,2005,10.3
Belize,2006,10.6
Belize,2007,11.0
Belize,2008,11.4
Belize,2009,11.8
Belize,2010,12.2
Belize,2011,12.7
Belize,2012,13.2
Belize,2013,13.7
Belize,2014,14.2
Belize,2015,14.8
Belize,2016,15.4
Bolivia (Plurinational State of),1990,4.5
Bolivia (Plurinational State of),1991,4.8
Bolivia (Plurinational State of),1992,5.1
Bolivia (Plurinational State of),1993,5.3
Bolivia (Plurinational State of),1994,5.6
Bolivia (Plurinational State of),1995,5.9
Bolivia (Plurinational State of),1996,6.2
Bolivia (Plurinational State of),1997,6.5
Bolivia (Plurinational State of),1998,6.8
Bolivia (Plurinational State of),1999,7.1
Bolivia (Plurinational State of),2000,7.4
Bolivia (Plurinational State of),2001,7.7
Bolivia (Plurinational State of),2002,8.1
Bolivia (Plurinational State of),2003,8.4
Bolivia (Plurinational State of),2004,8.7
Bolivia (Plurinational State of),2005,9.0
Bolivia (Plurinational State of),2006,9.4
Bolivia (Plurinational State of),2007,9.7
Bolivia (Plurinational State of),2008,10.1
Bolivia (Plurinational State of),2009,10.5
Bolivia (Plurinational State of),2010,10.9
Bolivia (Plurinational State of),2011,11.2
Bolivia (Plurinational State of),2012,11.6
Bolivia (Plurinational State of),2013,12.1
Bolivia (Plurinational State of),2014,12.5
Bolivia (Plurinational State of),2015,13.0
Bolivia (Plurinational State of),2016,13.4
Brazil,1990,6.3
Brazil,1991,6.7
Brazil,1992,7.0
Brazil,1993,7.4
Brazil,1994,7.8
Brazil,1995,8.2
Brazil,1996,8.6
Brazil,1997,9.0
Brazil,1998,9.4
Brazil,1999,9.8
Brazil,2000,10.3
Brazil,2001,10.7
Brazil,2002,11.2
Brazil,2003,11.6
Brazil,2004,12.1
Brazil,2005,12.6
Brazil,2006,13.1
Brazil,2007,13.6
Brazil,2008,14.1
Brazil,2009,14.6
Brazil,2010,15.1
Brazil,2011,15.7
Brazil,2012,16.2
Brazil,2013,16.8
Brazil,2014,17.4
Brazil,2015,18.0
Brazil,2016,18.5
Canada,1990,14.4
Canada,1991,15.0
Canada,1992,15.6
Canada,1993,16.2
Canada,1994,16.8
Canada,1995,17.4
Canada,1996,18.1
Canada,1997,18.8
Canada,1998,19.4
Canada,1999,20.1
Canada,2000,20.8
Canada,2001,21.5
Canada,2002,22.2
Canada,2003,22.9
Canada,2004,23.5
Canada,2005,24.2
Canada,2006,24.8
Canada,2007,25.4
Canada,2008,26.0
Canada,2009,26.6
Canada,2010,27.3
Canada,2011,27.9
Canada,2012,28.5
Canada,2013,29.2
Canada,2014,29.8
Canada,2015,30.5
Canada,2016,31.2
Chile,1990,12.1
Chile,1991,12.5
Chile,1992,12.9
Chile,1993,13.4
Chile,1994,13.9
Chile,1995,14.3
Chile,1996,14.8
Chile,1997,15.3
Chile,1998,15.8
Chile,1999,16.4
Chile,2000,16.9
Chile,2001,17.4
Chile,2002,17.9
Chile,2003,18.4
Chile,2004,18.9
Chile,2005,19.4
Chile,2006,19.9
Chile,2007,20.5
Chile,2008,21.0
Chile,2009,21.5
Chile,2010,22.0
Chile,2011,22.6
Chile,2012,23.1
Chile,2013,23.7
Chile,2014,24.3
Chile,2015,24.9
Chile,2016,25.5
Colombia,1990,6.1
Colombia,1991,6.5
Colombia,1992,6.8
Colombia,1993,7.1
Colombia,1994,7.5
Colombia,1995,7.9
Colombia,1996,8.2
Colombia,1997,8.6
Colombia,1998,9.0
Colombia,1999,9.4
Colombia,2000,9.8
Colombia,2001,10.2
Colombia,2002,10.6
Colombia,2003,11.0
Colombia,2004,11.4
Colombia,2005,11.9
Colombia,2006,12.3
Colombia,2007,12.8
Colombia,2008,13.2
Colombia,2009,13.7
Colombia,2010,14.2
Colombia,2011,14.7
Colombia,2012,15.2
Colombia,2013,15.7
Colombia,2014,16.2
Colombia,2015,16.7
Colombia,2016,17.3
Costa Rica,1990,5.5
Costa Rica,1991,5.9
Costa Rica,1992,6.3
Costa Rica,1993,6.7
Costa Rica,1994,7.1
Costa Rica,1995,7.6
Costa Rica,1996,8.0
Costa Rica,1997,8.5
Costa Rica,1998,9.0
Costa Rica,1999,9.4
Costa Rica,2000,9.9
Costa Rica,2001,10.4
Costa Rica,2002,11.0
Costa Rica,2003,11.6
Costa Rica,2004,12.2
Costa Rica,2005,12.8
Costa Rica,2006,13.5
Costa Rica,2007,14.1
Costa Rica,2008,14.8
Costa Rica,2009,15.5
Costa Rica,2010,16.3
Costa Rica,2011,17.0
Costa Rica,2012,17.8
Costa Rica,2013,18.6
Costa Rica,2014,19.4
Costa Rica,2015,20.2
Costa Rica,2016,21.0
Cuba,1990,7.0
Cuba,1991,7.4
Cuba,1992,7.8
Cuba,1993,8.2
Cuba,1994,8.6
Cuba,1995,9.0
Cuba,1996,9.4
Cuba,1997,9.9
Cuba,1998,10.4
Cuba,1999,10.8
Cuba,2000,11.3
Cuba,2001,11.8
Cuba,2002,12.4
Cuba,2003,12.9
Cuba,2004,13.4
Cuba,2005,13.9
Cuba,2006,14.4
Cuba,2007,15.0
Cuba,2008,15.5
Cuba,2009,16.1
Cuba,2010,16.6
Cuba,2011,17.2
Cuba,2012,17.8
Cuba,2013,18.4
Cuba,2014,19.1
Cuba,2015,19.7
Cuba,2016,20.4
Dominica,1990,6.7
Dominica,1991,7.2
Dominica,1992,7.6
Dominica,1993,8.1
Dominica,1994,8.6
Dominica,1995,9.0
Dominica,1996,9.5
Dominica,1997,9.9
Dominica,1998,10.4
Dominica,1999,10.8
Dominica,2000,11.2
Dominica,2001,11.7
Dominica,2002,12.1
Dominica,2003,12.6
Dominica,2004,13.1
Dominica,2005,13.6
Dominica,2006,14.1
Dominica,2007,14.6
Dominica,2008,15.1
Dominica,2009,15.7
Dominica,2010,16.2
Dominica,2011,16.8
Dominica,2012,17.4
Dominica,2013,18.1
Dominica,2014,18.7
Dominica,2015,19.3
Dominica,2016,20.0
Dominican Republic,1990,5.5
Dominican Republic,1991,5.8
Dominican Republic,1992,6.1
Dominican Republic,1993,6.4
Dominican Republic,1994,6.7
Dominican Republic,1995,7.0
Dominican Republic,1996,7.4
Dominican Republic,1997,7.8
Dominican Republic,1998,8.2
Dominican Republic,1999,8.7
Dominican Republic,2000,9.1
Dominican Republic,2001,9.6
Dominican Republic,2002,10.2
Dominican Republic,2003,10.7
Dominican Republic,2004,11.3
Dominican Republic,2005,11.9
Dominican Republic,2006,12.6
Dominican Republic,2007,13.2
Dominican Republic,2008,14.0
Dominican Republic,2009,14.7
Dominican Republic,2010,15.5
Dominican Republic,2011,16.2
Dominican Republic,2012,17.0
Dominican Republic,2013,17.8
Dominican Republic,2014,18.7
Dominican Republic,2015,19.5
Dominican Republic,2016,20.4
Ecuador,1990,5.0
Ecuador,1991,5.3
Ecuador,1992,5.5
Ecuador,1993,5.8
Ecuador,1994,6.1
Ecuador,1995,6.4
Ecuador,1996,6.7
Ecuador,1997,7.0
Ecuador,1998,7.4
Ecuador,1999,7.7
Ecuador,2000,8.0
Ecuador,2001,8.4
Ecuador,2002,8.7
Ecuador,2003,9.1
Ecuador,2004,9.4
Ecuador,2005,9.8
Ecuador,2006,10.2
Ecuador,2007,10.6
Ecuador,2008,10.9
Ecuador,2009,11.3
Ecuador,2010,11.7
Ecuador,2011,12.1
Ecuador,2012,12.6
Ecuador,2013,13.0
Ecuador,2014,13.5
Ecuador,2015,13.9
Ecuador,2016,14.4
El Salvador,1990,5.6
El Salvador,1991,5.9
El Salvador,1992,6.2
El Salvador,1993,6.5
El Salvador,1994,6.9
El Salvador,1995,7.3
El Salvador,1996,7.7
El Salvador,1997,8.1
El Salvador,1998,8.5
El Salvador,1999,9.0
El Salvador,2000,9.5
El Salvador,2001,9.9
El Salvador,2002,10.4
El Salvador,2003,10.8
El Salvador,2004,11.3
El Salvador,2005,11.7
El Salvador,2006,12.2
El Salvador,2007,12.6
El Salvador,2008,13.1
El Salvador,2009,13.5
El Salvador,2010,14.0
El Salvador,2011,14.4
El Salvador,2012,14.9
El Salvador,2013,15.4
El Salvador,2014,15.9
El Salvador,2015,16.5
El Salvador,2016,17.1
Grenada,1990,4.0
Grenada,1991,4.2
Grenada,1992,4.4
Grenada,1993,4.6
Grenada,1994,4.8
Grenada,1995,5.0
Grenada,1996,5.2
Grenada,1997,5.5
Grenada,1998,5.7
Grenada,1999,6.0
Grenada,2000,6.3
Grenada,2001,6.6
Grenada,2002,6.9
Grenada,2003,7.2
Grenada,2004,7.5
Grenada,2005,7.8
Grenada,2006,8.1
Grenada,2007,8.4
Grenada,2008,8.8
Grenada,2009,9.2
Grenada,2010,9.6
Grenada,2011,10.0
Grenada,2012,10.5
Grenada,2013,11.0
Grenada,2014,11.5
Grenada,2015,12.1
Grenada,2016,12.6
Guatemala,1990,4.6
Guatemala,1991,4.8
Guatemala,1992,5.0
Guatemala,1993,5.2
Guatemala,1994,5.5
Guatemala,1995,5.7
Guatemala,1996,6.0
Guatemala,1997,6.3
Guatemala,1998,6.6
Guatemala,1999,6.8
Guatemala,2000,7.1
Guatemala,2001,7.4
Guatemala,2002,7.7
Guatemala,2003,8.1
Guatemala,2004,8.4
Guatemala,2005,8.7
Guatemala,2006,9.1
Guatemala,2007,9.4
Guatemala,2008,9.8
Guatemala,2009,10.1
Guatemala,2010,10.5
Guatemala,2011,10.9
Guatemala,2012,11.3
Guatemala,2013,11.7
Guatemala,2014,12.2
Guatemala,2015,12.6
Guatemala,2016,13.1
Guyana,1990,3.5
Guyana,1991,3.7
Guyana,1992,3.9
Guyana,1993,4.1
Guyana,1994,4.3
Guyana,1995,4.6
Guyana,1996,4.8
Guyana,1997,5.1
Guyana,1998,5.4
Guyana,1999,5.7
Guyana,2000,5.9
Guyana,2001,6.2
Guyana,2002,6.5
Guyana,2003,6.8
Guyana,2004,7.1
Guyana,2005,7.4
Guyana,2006,7.8
Guyana,2007,8.1
Guyana,2008,8.5
Guyana,2009,8.8
Guyana,2010,9.3
Guyana,2011,9.7
Guyana,2012,10.2
Guyana,2013,10.7
Guyana,2014,11.2
Guyana,2015,11.7
Guyana,2016,12.2
Haiti,1990,3.3
Haiti,1991,3.5
Haiti,1992,3.7
Haiti,1993,4.0
Haiti,1994,4.3
Haiti,1995,4.6
Haiti,1996,4.9
Haiti,1997,5.2
Haiti,1998,5.5
Haiti,1999,5.8
Haiti,2000,6.1
Haiti,2001,6.5
Haiti,2002,6.9
Haiti,2003,7.3
Haiti,2004,7.8
Haiti,2005,8.3
Haiti,2006,8.9
Haiti,2007,9.5
Haiti,2008,10.1
Haiti,2009,10.8
Haiti,2010,11.6
Haiti,2011,12.3
Haiti,2012,13.1
Haiti,2013,13.9
Haiti,2014,14.7
Haiti,2015,15.6
Haiti,2016,16.4
Honduras,1990,4.2
Honduras,1991,4.4
Honduras,1992,4.7
Honduras,1993,4.9
Honduras,1994,5.2
Honduras,1995,5.5
Honduras,1996,5.8
Honduras,1997,6.1
Honduras,1998,6.4
Honduras,1999,6.7
Honduras,2000,7.0
Honduras,2001,7.4
Honduras,2002,7.7
Honduras,2003,8.1
Honduras,2004,8.5
Honduras,2005,8.9
Honduras,2006,9.3
Honduras,2007,9.7
Honduras,2008,10.1
Honduras,2009,10.5
Honduras,2010,11.0
Honduras,2011,11.5
Honduras,2012,12.0
Honduras,2013,12.5
Honduras,2014,13.0
Honduras,2015,13.6
Honduras,2016,14.1
Jamaica,1990,4.4
Jamaica,1991,4.6
Jamaica,1992,4.8
Jamaica,1993,5.1
Jamaica,1994,5.4
Jamaica,1995,5.6
Jamaica,1996,5.9
Jamaica,1997,6.3
Jamaica,1998,6.6
Jamaica,1999,6.9
Jamaica,2000,7.3
Jamaica,2001,7.7
Jamaica,2002,8.1
Jamaica,2003,8.6
Jamaica,2004,9.0
Jamaica,2005,9.5
Jamaica,2006,9.9
Jamaica,2007,10.4
Jamaica,2008,10.8
Jamaica,2009,11.3
Jamaica,2010,11.8
Jamaica,2011,12.3
Jamaica,2012,12.8
Jamaica,2013,13.3
Jamaica,2014,13.8
Jamaica,2015,14.4
Jamaica,2016,15.0
Mexico,1990,10.2
Mexico,1991,10.6
Mexico,1992,11.0
Mexico,1993,11.5
Mexico,1994,11.9
Mexico,1995,12.4
Mexico,1996,12.8
Mexico,1997,13.3
Mexico,1998,13.8
Mexico,1999,14.3
Mexico,2000,14.8
Mexico,2001,15.3
Mexico,2002,15.9
Mexico,2003,16.4
Mexico,2004,17.0
Mexico,2005,17.5
Mexico,2006,18.1
Mexico,2007,18.6
Mexico,2008,19.2
Mexico,2009,19.7
Mexico,2010,20.3
Mexico,2011,20.8
Mexico,2012,21.4
Mexico,2013,22.0
Mexico,2014,22.5
Mexico,2015,23.1
Mexico,2016,23.7
Nicaragua,1990,6.1
Nicaragua,1991,6.3
Nicaragua,1992,6.6
Nicaragua,1993,6.9
Nicaragua,1994,7.1
Nicaragua,1995,7.4
Nicaragua,1996,7.7
Nicaragua,1997,8.1
Nicaragua,1998,8.4
Nicaragua,1999,8.7
Nicaragua,2000,9.1
Nicaragua,2001,9.4
Nicaragua,2002,9.8
Nicaragua,2003,10.2
Nicaragua,2004,10.6
Nicaragua,2005,11.0
Nicaragua,2006,11.4
Nicaragua,2007,11.8
Nicaragua,2008,12.3
Nicaragua,2009,12.8
Nicaragua,2010,13.2
Nicaragua,2011,13.7
Nicaragua,2012,14.2
Nicaragua,2013,14.8
Nicaragua,2014,15.3
Nicaragua,2015,15.9
Nicaragua,2016,16.5
Panama,1990,5.7
Panama,1991,6.0
Panama,1992,6.3
Panama,1993,6.6
Panama,1994,7.0
Panama,1995,7.3
Panama,1996,7.7
Panama,1997,8.2
Panama,1998,8.6
Panama,1999,9.1
Panama,2000,9.5
Panama,2001,10.0
Panama,2002,10.5
Panama,2003,11.0
Panama,2004,11.4
Panama,2005,11.9
Panama,2006,12.4
Panama,2007,12.9
Panama,2008,13.4
Panama,2009,13.9
Panama,2010,14.4
Panama,2011,14.9
Panama,2012,15.4
Panama,2013,16.0
Panama,2014,16.5
Panama,2015,17.1
Panama,2016,17.6
Paraguay,1990,5.2
Paraguay,1991,5.5
Paraguay,1992,5.8
Paraguay,1993,6.2
Paraguay,1994,6.5
Paraguay,1995,6.9
Paraguay,1996,7.2
Paraguay,1997,7.6
Paraguay,1998,8.0
Paraguay,1999,8.4
Paraguay,2000,8.7
Paraguay,2001,9.1
Paraguay,2002,9.5
Paraguay,2003,10.0
Paraguay,2004,10.4
Paraguay,2005,10.8
Paraguay,2006,11.2
Paraguay,2007,11.7
Paraguay,2008,12.1
Paraguay,2009,12.5
Paraguay,2010,13.0
Paraguay,2011,13.5
Paraguay,2012,14.0
Paraguay,2013,14.5
Paraguay,2014,15.0
Paraguay,2015,15.5
Paraguay,2016,16.1
Peru,1990,5.7
Peru,1991,5.9
Peru,1992,6.2
Peru,1993,6.4
Peru,1994,6.7
Peru,1995,7.0
Peru,1996,7.3
Peru,1997,7.5
Peru,1998,7.8
Peru,1999,8.1
Peru,2000,8.5
Peru,2001,8.8
Peru,2002,9.1
Peru,2003,9.5
Peru,2004,9.8
Peru,2005,10.2
Peru,2006,10.5
Peru,2007,10.9
Peru,2008,11.3
Peru,2009,11.7
Peru,2010,12.1
Peru,2011,12.5
Peru,2012,12.9
Peru,2013,13.3
Peru,2014,13.8
Peru,2015,14.2
Peru,2016,14.7
Saint Kitts and Nevis,1990,5.0
Saint Kitts and Nevis,1991,5.2
Saint Kitts and Nevis,1992,5.4
Saint Kitts and Nevis,1993,5.7
Saint Kitts and Nevis,1994,6.0
Saint Kitts and Nevis,1995,6.2
Saint Kitts and Nevis,1996,6.5
Saint Kitts and Nevis,1997,6.8
Saint Kitts and Nevis,1998,7.2
Saint Kitts and Nevis,1999,7.5
Saint Kitts and Nevis,2000,7.8
Saint Kitts and Nevis,2001,8.2
Saint Kitts and Nevis,2002,8.5
Saint Kitts and Nevis,2003,8.9
Saint Kitts and Nevis,2004,9.3
Saint Kitts and Nevis,2005,9.7
Saint Kitts and Nevis,2006,10.1
Saint Kitts and Nevis,2007,10.5
Saint Kitts and Nevis,2008,11.0
Saint Kitts and Nevis,2009,11.5
Saint Kitts and Nevis,2010,11.9
Saint Kitts and Nevis,2011,12.5
Saint Kitts and Nevis,2012,13.0
Saint Kitts and Nevis,2013,13.6
Saint Kitts and Nevis,2014,14.1
Saint Kitts and Nevis,2015,14.7
Saint Kitts and Nevis,2016,15.4
Saint Lucia,1990,3.9
Saint Lucia,1991,4.1
Saint Lucia,1992,4.3
Saint Lucia,1993,4.5
Saint Lucia,1994,4.8
Saint Lucia,1995,5.0
Saint Lucia,1996,5.3
Saint Lucia,1997,5.5
Saint Lucia,1998,5.8
Saint Lucia,1999,6.1
Saint Lucia,2000,6.3
Saint Lucia,2001,6.6
Saint Lucia,2002,6.8
Saint Lucia,2003,7.1
Saint Lucia,2004,7.3
Saint Lucia,2005,7.6
Saint Lucia,2006,7.9
Saint Lucia,2007,8.3
Saint Lucia,2008,8.7
Saint Lucia,2009,9.0
Saint Lucia,2010,9.4
Saint Lucia,2011,9.8
Saint Lucia,2012,10.1
Saint Lucia,2013,10.6
Saint Lucia,2014,11.0
Saint Lucia,2015,11.5
Saint Lucia,2016,12.0
Saint Vincent and the Grenadines,1990,4.3
Saint Vincent and the Grenadines,1991,4.6
Saint Vincent and the Grenadines,1992,4.9
Saint Vincent and the Grenadines,1993,5.2
Saint Vincent and the Grenadines,1994,5.5
Saint Vincent and the Grenadines,1995,5.8
Saint Vincent and the Grenadines,1996,6.2
Saint Vincent and the Grenadines,1997,6.5
Saint Vincent and the Grenadines,1998,6.9
Saint Vincent and the Grenadines,1999,7.3
Saint Vincent and the Grenadines,2000,7.7
Saint Vincent and the Grenadines,2001,8.2
Saint Vincent and the Grenadines,2002,8.6
Saint Vincent and the Grenadines,2003,9.1
Saint Vincent and the Grenadines,2004,9.6
Saint Vincent and the Grenadines,2005,10.0
Saint Vincent and the Grenadines,2006,10.6
Saint Vincent and the Grenadines,2007,11.1
Saint Vincent and the Grenadines,2008,11.6
Saint Vincent and the Grenadines,2009,12.2
Saint Vincent and the Grenadines,2010,12.8
Saint Vincent and the Grenadines,2011,13.4
Saint Vincent and the Grenadines,2012,14.0
Saint Vincent and the Grenadines,2013,14.6
Saint Vincent and the Grenadines,2014,15.3
Saint Vincent and the Grenadines,2015,16.0
Saint Vincent and the Grenadines,2016,16.7
Suriname,1990,7.3
Suriname,1991,7.6
Suriname,1992,7.9
Suriname,1993,8.3
Suriname,1994,8.6
Suriname,1995,9.0
Suriname,1996,9.4
Suriname,1997,9.8
Suriname,1998,10.2
Suriname,1999,10.6
Suriname,2000,11.0
Suriname,2001,11.5
Suriname,2002,11.9
Suriname,2003,12.3
Suriname,2004,12.8
Suriname,2005,13.2
Suriname,2006,13.7
Suriname,2007,14.2
Suriname,2008,14.7
Suriname,2009,15.2
Suriname,2010,15.7
Suriname,2011,16.2
Suriname,2012,16.8
Suriname,2013,17.3
Suriname,2014,17.9
Suriname,2015,18.5
Suriname,2016,19.0
Trinidad and Tobago,1990,3.0
Trinidad and Tobago,1991,3.2
Trinidad and Tobago,1992,3.4
Trinidad and Tobago,1993,3.6
Trinidad and Tobago,1994,3.8
Trinidad and Tobago,1995,4.0
Trinidad and Tobago,1996,4.2
Trinidad and Tobago,1997,4.5
Trinidad and Tobago,1998,4.7
Trinidad and Tobago,1999,5.0
Trinidad and Tobago,2000,5.3
Trinidad and Tobago,2001,5.6
Trinidad and Tobago,2002,5.9
Trinidad and Tobago,2003,6.1
Trinidad and Tobago,2004,6.4
Trinidad and Tobago,2005,6.7
Trinidad and Tobago,2006,7.1
Trinidad and Tobago,2007,7.4
Trinidad and Tobago,2008,7.8
Trinidad and Tobago,2009,8.1
Trinidad and Tobago,2010,8.5
Trinidad and Tobago,2011,8.9
Trinidad and Tobago,2012,9.4
Trinidad and Tobago,2013,9.9
Trinidad and Tobago,2014,10.3
Trinidad and Tobago,2015,10.9
Trinidad and Tobago,2016,11.4
United States of America,1990,17.0
United States of America,1991,17.7
United States of America,1992,18.4
United States of America,1993,19.1
United States of America,1994,19.8
United States of America,1995,20.6
United States of America,1996,21.4
United States of America,1997,22.2
United States of America,1998,23.0
United States of America,1999,23.8
United States of America,2000,24.6
United States of America,2001,25.4
United States of America,2002,26.2
United States of America,2003,27.0
United States of America,2004,27.7
United States of America,2005,28.5
United States of America,2006,29.2
United States of America,2007,30.0
United States of America,2008,30.7
United States of America,2009,31.5
United States of America,2010,32.2
United States of America,2011,32.9
United States of America,2012,33.6
United States of America,2013,34.3
United States of America,2014,35.0
United States of America,2015,35.7
United States of America,2016,36.5
Uruguay,1990,12.9
Uruguay,1991,13.3
Uruguay,1992,13.6
Uruguay,1993,14.0
Uruguay,1994,14.4
Uruguay,1995,14.8
Uruguay,1996,15.2
Uruguay,1997,15.6
Uruguay,1998,16.0
Uruguay,1999,16.5
Uruguay,2000,16.9
Uruguay,2001,17.4
Uruguay,2002,17.9
Uruguay,2003,18.4
Uruguay,2004,18.9
Uruguay,2005,19.4
Uruguay,2006,20.0
Uruguay,2007,20.5
Uruguay,2008,21.0
Uruguay,2009,21.5
Uruguay,2010,22.0
Uruguay,2011,22.6
Uruguay,2012,23.1
Uruguay,2013,23.6
Uruguay,2014,24.2
Uruguay,2015,24.8
Uruguay,2016,25.3
Venezuela (Bolivarian Republic of),1990,10.3
Venezuela (Bolivarian Republic of),1991,10.7
Venezuela (Bolivarian Republic of),1992,11.2
Venezuela (Bolivarian Republic of),1993,11.6
Venezuela (Bolivarian Republic of),1994,12.0
Venezuela (Bolivarian Republic of),1995,12.5
Venezuela (Bolivarian Republic of),1996,12.9
Venezuela (Bolivarian Republic of),1997,13.4
Venezuela (Bolivarian Republic of),1998,13.8
Venezuela (Bolivarian Republic of),1999,14.3
Venezuela (Bolivarian Republic of),2000,14.8
Venezuela (Bolivarian Republic of),2001,15.2
Venezuela (Bolivarian Republic of),2002,15.7
Venezuela (Bolivarian Republic of),2003,16.1
Venezuela (Bolivarian Republic of),2004,16.6
Venezuela (Bolivarian Republic of),2005,17.0
Venezuela (Bolivarian Republic of),2006,17.5
Venezuela (Bolivarian Republic of),2007,17.9
Venezuela (Bolivarian Republic of),2008,18.4
Venezuela (Bolivarian Republic of),2009,18.8
Venezuela (Bolivarian Republic of),2010,19.2
Venezuela (Bolivarian Republic of),2011,19.7
Venezuela (Bolivarian Republic of),2012,20.2
Venezuela (Bolivarian Republic of),2013,20.6
Venezuela (Bolivarian Republic of),2014,21.1
Venezuela (Bolivarian Republic of),2015,21.6
Venezuela (Bolivarian Republic of),2016,22.1
