Country,Año,Prevalence of raised blood pressure in adults (%)
Antigua y Barbuda,1995,23.5
Argentina,1995,31.0
Bahamas,1995,29.0
Barbados,1995,27.0
Belice,1995,26.7
Bolivia (Estado Plurinacional de),1995,22.8
Brasil,1995,31.0
Canadá,1995,21.5
Chile,1995,28.8
Colombia,1995,24.9
Costa Rica,1995,23.4
Cuba,1995,28.2
Dominica,1995,28.3
República Dominicana,1995,26.2
Ecuador,1995,21.5
El Salvador,1995,22.6
Granada,1995,25.2
Guatemala,1995,23.2
Guyana,1995,23.4
Haití,1995,25.8
Honduras,1995,23.2
Jamaica,1995,25.2
México,1995,25.5
Nicaragua,1995,24.5
Panamá,1995,23.9
Paraguay,1995,28.2
Perú,1995,21.9
Saint Kitts y Nevis,1995,25.7
Santa Lucía,1995,25.5
San Vicente y las Granadinas,1995,26.1
Suriname,1995,28.0
Trinidad y Tabago,1995,22.6
Estados Unidos de América,1995,16.5
Uruguay,1995,31.2
Venezuela (República Bolivariana de),1995,28.1
Antigua y Barbuda,1996,23.4
Argentina,1996,30.5
Bahamas,1996,28.5
Barbados,1996,26.8
Belice,1996,26.5
Bolivia (Estado Plurinacional de),1996,22.5
Brasil,1996,30.7
Canadá,1996,21.0
Chile,1996,28.4
Colombia,1996,24.7
Costa Rica,1996,23.2
Cuba,1996,27.6
Dominica,1996,28.1
República Dominicana,1996,26.1
Ecuador,1996,21.3
El Salvador,1996,22.5
Granada,1996,25.1
Guatemala,1996,23.1
Guyana,1996,23.3
Haití,1996,25.9
Honduras,1996,23.1
Jamaica,1996,25.0
México,1996,25.2
Nicaragua,1996,24.2
Panamá,1996,23.7
Paraguay,1996,28.2
Perú,1996,21.5
Saint Kitts y Nevis,1996,25.7
Santa Lucía,1996,25.6
San Vicente y las Granadinas,1996,26.0
Suriname,1996,27.6
Trinidad y Tabago,1996,22.7
Estados Unidos de América,1996,16.3
Uruguay,1996,30.7
Venezuela (República Bolivariana de),1996,27.6
Antigua y Barbuda,1997,23.3
Argentina,1997,30.0
Bahamas,1997,28.0
Barbados,1997,26.6
Belice,1997,26.2
Bolivia (Estado Plurinacional de),1997,22.3
Brasil,1997,30.3
Canadá,1997,20.6
Chile,1997,27.9
Colombia,1997,24.4
Costa Rica,1997,23.0
Cuba,1997,27.0
Dominica,1997,27.9
República Dominicana,1997,26.0
Ecuador,1997,21.1
El Salvador,1997,22.3
Granada,1997,25.0
Guatemala,1997,23.0
Guyana,1997,23.2
Haití,1997,26.0
Honduras,1997,23.1
Jamaica,1997,24.8
México,1997,24.8
Nicaragua,1997,24.0
Panamá,1997,23.5
Paraguay,1997,28.2
Perú,1997,21.0
Saint Kitts y Nevis,1997,25.6
Santa Lucía,1997,25.6
San Vicente y las Granadinas,1997,25.9
Suriname,1997,27.3
Trinidad y Tabago,1997,22.8
Estados Unidos de América,1997,16.0
Uruguay,1997,30.2
Venezuela (República Bolivariana de),1997,27.1
Antigua y Barbuda,1998,23.2
Argentina,1998,29.5
Bahamas,1998,27.5
Barbados,1998,26.5
Belice,1998,25.9
Bolivia (Estado Plurinacional de),1998,22.0
Brasil,1998,29.9
Canadá,1998,20.1
Chile,1998,27.5
Colombia,1998,24.1
Costa Rica,1998,22.8
Cuba,1998,26.4
Dominica,1998,27.6
República Dominicana,1998,25.9
Ecuador,1998,21.0
El Salvador,1998,22.1
Granada,1998,25.0
Guatemala,1998,22.9
Guyana,1998,23.1
Haití,1998,26.0
Honduras,1998,23.0
Jamaica,1998,24.7
México,1998,24.5
Nicaragua,1998,23.8
Panamá,1998,23.3
Paraguay,1998,28.2
Perú,1998,20.6
Saint Kitts y Nevis,1998,25.6
Santa Lucía,1998,25.7
San Vicente y las Granadinas,1998,25.9
Suriname,1998,27.0
Trinidad y Tabago,1998,22.9
Estados Unidos de América,1998,15.7
Uruguay,1998,29.7
Venezuela (República Bolivariana de),1998,26.5
Antigua y Barbuda,1999,23.1
Argentina,1999,29.1
Bahamas,1999,27.1
Barbados,1999,26.3
Belice,1999,25.7
Bolivia (Estado Plurinacional de),1999,21.7
Brasil,1999,29.6
Canadá,1999,19.6
Chile,1999,27.1
Colombia,1999,23.8
Costa Rica,1999,22.6
Cuba,1999,25.8
Dominica,1999,27.3
República Dominicana,1999,25.8
Ecuador,1999,20.8
El Salvador,1999,22.0
Granada,1999,24.9
Guatemala,1999,22.8
Guyana,1999,23.0
Haití,1999,26.1
Honduras,1999,22.9
Jamaica,1999,24.5
México,1999,24.2
Nicaragua,1999,23.5
Panamá,1999,23.0
Paraguay,1999,28.2
Perú,1999,20.1
Saint Kitts y Nevis,1999,25.5
Santa Lucía,1999,25.8
San Vicente y las Granadinas,1999,25.8
Suriname,1999,26.7
Trinidad y Tabago,1999,23.0
Estados Unidos de América,1999,15.5
Uruguay,1999,29.3
Venezuela (República Bolivariana de),1999,26.0
Antigua y Barbuda,2000,23.1
Argentina,2000,28.6
Bahamas,2000,26.6
Barbados,2000,26.1
Belice,2000,25.5
Bolivia (Estado Plurinacional de),2000,21.5
Brasil,2000,29.2
Canadá,2000,19.2
Chile,2000,26.7
Colombia,2000,23.5
Costa Rica,2000,22.4
Cuba,2000,25.2
Dominica,2000,27.0
República Dominicana,2000,25.6
Ecuador,2000,20.6
El Salvador,2000,21.8
Granada,2000,24.9
Guatemala,2000,22.7
Guyana,2000,23.0
Haití,2000,26.1
Honduras,2000,22.9
Jamaica,2000,24.3
México,2000,23.8
Nicaragua,2000,23.3
Panamá,2000,22.8
Paraguay,2000,28.1
Perú,2000,19.7
Saint Kitts y Nevis,2000,25.5
Santa Lucía,2000,25.8
San Vicente y las Granadinas,2000,25.7
Suriname,2000,26.4
Trinidad y Tabago,2000,23.2
Estados Unidos de América,2000,15.3
Uruguay,2000,28.8
Venezuela (República Bolivariana de),2000,25.5
Antigua y Barbuda,2001,23.0
Argentina,2001,28.2
Bahamas,2001,26.2
Barbados,2001,25.9
Belice,2001,25.2
Bolivia (Estado Plurinacional de),2001,21.2
Brasil,2001,28.8
Canadá,2001,18.8
Chile,2001,26.3
Colombia,2001,23.1
Costa Rica,2001,22.2
Cuba,2001,24.7
Dominica,2001,26.7
República Dominicana,2001,25.5
Ecuador,2001,20.3
El Salvador,2001,21.6
Granada,2001,24.8
Guatemala,2001,22.6
Guyana,2001,22.9
Haití,2001,26.2
Honduras,2001,22.8
Jamaica,2001,24.1
México,2001,23.5
Nicaragua,2001,23.1
Panamá,2001,22.6
Paraguay,2001,27.9
Perú,2001,19.2
Saint Kitts y Nevis,2001,25.5
Santa Lucía,2001,25.8
San Vicente y las Granadinas,2001,25.6
Suriname,2001,26.1
Trinidad y Tabago,2001,23.3
Estados Unidos de América,2001,15.1
Uruguay,2001,28.3
Venezuela (República Bolivariana de),2001,25.0
Antigua y Barbuda,2002,22.9
Argentina,2002,27.7
Bahamas,2002,25.7
Barbados,2002,25.7
Belice,2002,25.0
Bolivia (Estado Plurinacional de),2002,20.9
Brasil,2002,28.4
Canadá,2002,18.3
Chile,2002,25.9
Colombia,2002,22.8
Costa Rica,2002,22.0
Cuba,2002,24.1
Dominica,2002,26.4
República Dominicana,2002,25.3
Ecuador,2002,20.1
El Salvador,2002,21.4
Granada,2002,24.8
Guatemala,2002,22.5
Guyana,2002,22.8
Haití,2002,26.2
Honduras,2002,22.7
Jamaica,2002,23.9
México,2002,23.2
Nicaragua,2002,23.0
Panamá,2002,22.3
Paraguay,2002,27.8
Perú,2002,18.8
Saint Kitts y Nevis,2002,25.5
Santa Lucía,2002,25.9
San Vicente y las Granadinas,2002,25.5
Suriname,2002,25.8
Trinidad y Tabago,2002,23.5
Estados Unidos de América,2002,14.9
Uruguay,2002,27.8
Venezuela (República Bolivariana de),2002,24.4
Antigua y Barbuda,2003,22.9
Argentina,2003,27.2
Bahamas,2003,25.3
Barbados,2003,25.5
Belice,2003,24.7
Bolivia (Estado Plurinacional de),2003,20.6
Brasil,2003,28.0
Canadá,2003,17.9
Chile,2003,25.5
Colombia,2003,22.5
Costa Rica,2003,21.8
Cuba,2003,23.6
Dominica,2003,26.1
República Dominicana,2003,25.1
Ecuador,2003,19.9
El Salvador,2003,21.2
Granada,2003,24.7
Guatemala,2003,22.4
Guyana,2003,22.8
Haití,2003,26.2
Honduras,2003,22.6
Jamaica,2003,23.8
México,2003,22.9
Nicaragua,2003,22.8
Panamá,2003,22.1
Paraguay,2003,27.6
Perú,2003,18.3
Saint Kitts y Nevis,2003,25.5
Santa Lucía,2003,25.9
San Vicente y las Granadinas,2003,25.4
Suriname,2003,25.5
Trinidad y Tabago,2003,23.6
Estados Unidos de América,2003,14.7
Uruguay,2003,27.2
Venezuela (República Bolivariana de),2003,23.9
Antigua y Barbuda,2004,22.8
Argentina,2004,26.8
Bahamas,2004,25.0
Barbados,2004,25.4
Belice,2004,24.4
Bolivia (Estado Plurinacional de),2004,20.4
Brasil,2004,27.6
Canadá,2004,17.5
Chile,2004,25.0
Colombia,2004,22.2
Costa Rica,2004,21.5
Cuba,2004,23.0
Dominica,2004,25.7
República Dominicana,2004,24.8
Ecuador,2004,19.7
El Salvador,2004,21.0
Granada,2004,24.6
Guatemala,2004,22.2
Guyana,2004,22.8
Haití,2004,26.2
Honduras,2004,22.6
Jamaica,2004,23.6
México,2004,22.5
Nicaragua,2004,22.6
Panamá,2004,21.9
Paraguay,2004,27.4
Perú,2004,17.9
Saint Kitts y Nevis,2004,25.5
Santa Lucía,2004,26.0
San Vicente y las Granadinas,2004,25.2
Suriname,2004,25.2
Trinidad y Tabago,2004,23.8
Estados Unidos de América,2004,14.5
Uruguay,2004,26.7
Venezuela (República Bolivariana de),2004,23.4
Antigua y Barbuda,2005,22.8
Argentina,2005,26.3
Bahamas,2005,24.6
Barbados,2005,25.2
Belice,2005,24.2
Bolivia (Estado Plurinacional de),2005,20.1
Brasil,2005,27.2
Canadá,2005,17.1
Chile,2005,24.6
Colombia,2005,21.9
Costa Rica,2005,21.3
Cuba,2005,22.5
Dominica,2005,25.4
República Dominicana,2005,24.6
Ecuador,2005,19.5
El Salvador,2005,20.8
Granada,2005,24.6
Guatemala,2005,22.2
Guyana,2005,22.7
Haití,2005,26.2
Honduras,2005,22.5
Jamaica,2005,23.4
México,2005,22.2
Nicaragua,2005,22.4
Panamá,2005,21.6
Paraguay,2005,27.1
Perú,2005,17.4
Saint Kitts y Nevis,2005,25.5
Santa Lucía,2005,26.1
San Vicente y las Granadinas,2005,25.1
Suriname,2005,24.9
Trinidad y Tabago,2005,23.9
Estados Unidos de América,2005,14.3
Uruguay,2005,26.1
Venezuela (República Bolivariana de),2005,22.9
Antigua y Barbuda,2006,22.8
Argentina,2006,25.9
Bahamas,2006,24.2
Barbados,2006,25.0
Belice,2006,24.0
Bolivia (Estado Plurinacional de),2006,19.8
Brasil,2006,26.8
Canadá,2006,16.7
Chile,2006,24.2
Colombia,2006,21.6
Costa Rica,2006,21.1
Cuba,2006,22.0
Dominica,2006,25.1
República Dominicana,2006,24.3
Ecuador,2006,19.3
El Salvador,2006,20.6
Granada,2006,24.5
Guatemala,2006,22.1
Guyana,2006,22.7
Haití,2006,26.1
Honduras,2006,22.4
Jamaica,2006,23.2
México,2006,21.9
Nicaragua,2006,22.3
Panamá,2006,21.4
Paraguay,2006,26.9
Perú,2006,17.0
Saint Kitts y Nevis,2006,25.5
Santa Lucía,2006,26.2
San Vicente y las Granadinas,2006,24.9
Suriname,2006,24.7
Trinidad y Tabago,2006,24.1
Estados Unidos de América,2006,14.2
Uruguay,2006,25.5
Venezuela (República Bolivariana de),2006,22.4
Antigua y Barbuda,2007,22.7
Argentina,2007,25.5
Bahamas,2007,23.8
Barbados,2007,24.9
Belice,2007,23.7
Bolivia (Estado Plurinacional de),2007,19.6
Brasil,2007,26.4
Canadá,2007,16.3
Chile,2007,23.8
Colombia,2007,21.3
Costa Rica,2007,20.8
Cuba,2007,21.5
Dominica,2007,24.8
República Dominicana,2007,24.0
Ecuador,2007,19.1
El Salvador,2007,20.4
Granada,2007,24.4
Guatemala,2007,22.0
Guyana,2007,22.7
Haití,2007,26.0
Honduras,2007,22.3
Jamaica,2007,23.0
México,2007,21.6
Nicaragua,2007,22.1
Panamá,2007,21.2
Paraguay,2007,26.6
Perú,2007,16.6
Saint Kitts y Nevis,2007,25.5
Santa Lucía,2007,26.3
San Vicente y las Granadinas,2007,24.7
Suriname,2007,24.4
Trinidad y Tabago,2007,24.3
Estados Unidos de América,2007,14.0
Uruguay,2007,24.9
Venezuela (República Bolivariana de),2007,21.9
Antigua y Barbuda,2008,22.8
Argentina,2008,25.0
Bahamas,2008,23.4
Barbados,2008,24.8
Belice,2008,23.5
Bolivia (Estado Plurinacional de),2008,19.4
Brasil,2008,26.0
Canadá,2008,15.9
Chile,2008,23.4
Colombia,2008,21.0
Costa Rica,2008,20.6
Cuba,2008,21.1
Dominica,2008,24.5
República Dominicana,2008,23.8
Ecuador,2008,18.9
El Salvador,2008,20.1
Granada,2008,24.4
Guatemala,2008,21.9
Guyana,2008,22.8
Haití,2008,25.9
Honduras,2008,22.2
Jamaica,2008,22.9
México,2008,21.4
Nicaragua,2008,21.9
Panamá,2008,21.0
Paraguay,2008,26.3
Perú,2008,16.2
Saint Kitts y Nevis,2008,25.5
Santa Lucía,2008,26.4
San Vicente y las Granadinas,2008,24.6
Suriname,2008,24.1
Trinidad y Tabago,2008,24.5
Estados Unidos de América,2008,13.9
Uruguay,2008,24.4
Venezuela (República Bolivariana de),2008,21.5
Antigua y Barbuda,2009,22.8
Argentina,2009,24.7
Bahamas,2009,23.0
Barbados,2009,24.7
Belice,2009,23.4
Bolivia (Estado Plurinacional de),2009,19.2
Brasil,2009,25.6
Canadá,2009,15.5
Chile,2009,23.0
Colombia,2009,20.7
Costa Rica,2009,20.3
Cuba,2009,20.7
Dominica,2009,24.2
República Dominicana,2009,23.5
Ecuador,2009,18.8
El Salvador,2009,19.9
Granada,2009,24.3
Guatemala,2009,21.8
Guyana,2009,22.8
Haití,2009,25.8
Honduras,2009,22.1
Jamaica,2009,22.7
México,2009,21.1
Nicaragua,2009,21.7
Panamá,2009,20.8
Paraguay,2009,26.0
Perú,2009,15.8
Saint Kitts y Nevis,2009,25.4
Santa Lucía,2009,26.5
San Vicente y las Granadinas,2009,24.4
Suriname,2009,23.8
Trinidad y Tabago,2009,24.6
Estados Unidos de América,2009,13.7
Uruguay,2009,23.8
Venezuela (República Bolivariana de),2009,21.0
Antigua y Barbuda,2010,22.9
Argentina,2010,24.3
Bahamas,2010,22.7
Barbados,2010,24.7
Belice,2010,23.2
Bolivia (Estado Plurinacional de),2010,18.9
Brasil,2010,25.2
Canadá,2010,15.1
Chile,2010,22.6
Colombia,2010,20.5
Costa Rica,2010,20.1
Cuba,2010,20.4
Dominica,2010,23.9
República Dominicana,2010,23.1
Ecuador,2010,18.6
El Salvador,2010,19.7
Granada,2010,24.3
Guatemala,2010,21.7
Guyana,2010,22.8
Haití,2010,25.6
Honduras,2010,22.0
Jamaica,2010,22.6
México,2010,20.9
Nicaragua,2010,21.6
Panamá,2010,20.6
Paraguay,2010,25.8
Perú,2010,15.4
Saint Kitts y Nevis,2010,25.4
Santa Lucía,2010,26.6
San Vicente y las Granadinas,2010,24.2
Suriname,2010,23.5
Trinidad y Tabago,2010,24.8
Estados Unidos de América,2010,13.6
Uruguay,2010,23.3
Venezuela (República Bolivariana de),2010,20.6
Antigua y Barbuda,2011,22.9
Argentina,2011,23.9
Bahamas,2011,22.3
Barbados,2011,24.6
Belice,2011,23.1
Bolivia (Estado Plurinacional de),2011,18.7
Brasil,2011,24.8
Canadá,2011,14.7
Chile,2011,22.3
Colombia,2011,20.2
Costa Rica,2011,19.8
Cuba,2011,20.2
Dominica,2011,23.6
República Dominicana,2011,22.8
Ecuador,2011,18.5
El Salvador,2011,19.5
Granada,2011,24.3
Guatemala,2011,21.6
Guyana,2011,22.9
Haití,2011,25.4
Honduras,2011,21.9
Jamaica,2011,22.4
México,2011,20.6
Nicaragua,2011,21.4
Panamá,2011,20.5
Paraguay,2011,25.5
Perú,2011,15.0
Saint Kitts y Nevis,2011,25.4
Santa Lucía,2011,26.7
San Vicente y las Granadinas,2011,24.0
Suriname,2011,23.3
Trinidad y Tabago,2011,25.0
Estados Unidos de América,2011,13.4
Uruguay,2011,22.7
Venezuela (República Bolivariana de),2011,20.2
Antigua y Barbuda,2012,23.0
Argentina,2012,23.6
Bahamas,2012,22.0
Barbados,2012,24.6
Belice,2012,23.0
Bolivia (Estado Plurinacional de),2012,18.5
Brasil,2012,24.4
Canadá,2012,14.3
Chile,2012,21.9
Colombia,2012,19.9
Costa Rica,2012,19.6
Cuba,2012,19.8
Dominica,2012,23.3
República Dominicana,2012,22.5
Ecuador,2012,18.3
El Salvador,2012,19.3
Granada,2012,24.3
Guatemala,2012,21.5
Guyana,2012,22.9
Haití,2012,25.2
Honduras,2012,21.8
Jamaica,2012,22.2
México,2012,20.4
Nicaragua,2012,21.2
Panamá,2012,20.3
Paraguay,2012,25.3
Perú,2012,14.7
Saint Kitts y Nevis,2012,25.4
Santa Lucía,2012,26.8
San Vicente y las Granadinas,2012,23.9
Suriname,2012,23.0
Trinidad y Tabago,2012,25.2
Estados Unidos de América,2012,13.3
Uruguay,2012,22.2
Venezuela (República Bolivariana de),2012,19.8
Antigua y Barbuda,2013,23.1
Argentina,2013,23.2
Bahamas,2013,21.6
Barbados,2013,24.5
Belice,2013,22.9
Bolivia (Estado Plurinacional de),2013,18.3
Brasil,2013,24.0
Canadá,2013,13.9
Chile,2013,21.6
Colombia,2013,19.7
Costa Rica,2013,19.3
Cuba,2013,19.5
Dominica,2013,23.1
República Dominicana,2013,22.1
Ecuador,2013,18.2
El Salvador,2013,19.1
Granada,2013,24.3
Guatemala,2013,21.4
Guyana,2013,23.0
Haití,2013,25.0
Honduras,2013,21.6
Jamaica,2013,22.1
México,2013,20.1
Nicaragua,2013,21.1
Panamá,2013,20.2
Paraguay,2013,25.0
Perú,2013,14.3
Saint Kitts y Nevis,2013,25.3
Santa Lucía,2013,26.9
San Vicente y las Granadinas,2013,23.7
Suriname,2013,22.8
Trinidad y Tabago,2013,25.4
Estados Unidos de América,2013,13.2
Uruguay,2013,21.7
Venezuela (República Bolivariana de),2013,19.4
Antigua y Barbuda,2014,23.2
Argentina,2014,22.9
Bahamas,2014,21.3
Barbados,2014,24.5
Belice,2014,22.8
Bolivia (Estado Plurinacional de),2014,18.1
Brasil,2014,23.7
Canadá,2014,13.6
Chile,2014,21.3
Colombia,2014,19.4
Costa Rica,2014,19.0
Cuba,2014,19.3
Dominica,2014,22.8
República Dominicana,2014,21.8
Ecuador,2014,18.0
El Salvador,2014,18.9
Granada,2014,24.3
Guatemala,2014,21.3
Guyana,2014,23.1
Haití,2014,24.7
Honduras,2014,21.5
Jamaica,2014,22.0
México,2014,19.9
Nicaragua,2014,20.9
Panamá,2014,20.0
Paraguay,2014,24.8
Perú,2014,14.0
Saint Kitts y Nevis,2014,25.3
Santa Lucía,2014,27.0
San Vicente y las Granadinas,2014,23.5
Suriname,2014,22.6
Trinidad y Tabago,2014,25.6
Estados Unidos de América,2014,13.1
Uruguay,2014,21.2
Venezuela (República Bolivariana de),2014,19.0
Antigua y Barbuda,2015,23.4
Argentina,2015,22.6
Bahamas,2015,20.9
Barbados,2015,24.4
Belice,2015,22.7
Bolivia (Estado Plurinacional de),2015,17.9
Brasil,2015,23.3
Canadá,2015,13.2
Chile,2015,20.9
Colombia,2015,19.2
Costa Rica,2015,18.7
Cuba,2015,19.0
Dominica,2015,22.5
República Dominicana,2015,21.5
Ecuador,2015,17.9
El Salvador,2015,18.7
Granada,2015,24.3
Guatemala,2015,21.2
Guyana,2015,23.1
Haití,2015,24.5
Honduras,2015,21.4
Jamaica,2015,21.8
México,2015,19.7
Nicaragua,2015,20.8
Panamá,2015,19.9
Paraguay,2015,24.6
Perú,2015,13.7
Saint Kitts y Nevis,2015,25.3
Santa Lucía,2015,27.1
San Vicente y las Granadinas,2015,23.3
Suriname,2015,22.4
Trinidad y Tabago,2015,25.8
Estados Unidos de América,2015,12.9
Uruguay,2015,20.7
Venezuela (República Bolivariana de),2015,18.6
